date,term_premium,dgs10,fedfunds,breakeven_10yr,vix,nps_dw_pct_gdp,nps_simple_pct_gdp,fed_treasury_trn,foreign_official_trn,gdp_trn
2003-01-01,1.073295238095238,4.048571428571428,1.24,1.7542857142857144,27.424285714285713,,,0.629406,,11.174129
2003-02-01,0.9914736842105264,3.9026315789473687,1.26,1.9126315789473682,32.21842105263158,,,0.635996,,11.220341333333334
2003-03-01,0.9308047619047619,3.8071428571428574,1.25,1.8628571428571428,30.634285714285717,,,0.640891,,11.266553666666667
2003-04-01,1.009742857142857,3.958571428571428,1.26,1.774761904761905,23.99190476190476,,,0.647271,,11.312766
2003-05-01,0.7824380952380953,3.5690476190476192,1.26,1.6609523809523812,20.23952380952381,,,0.650859,,11.397400333333334
2003-06-01,0.6613142857142856,3.334285714285714,1.22,1.6123809523809522,20.362380952380953,,,0.651993,,11.482034666666667
2003-07-01,1.0156181818181818,3.975454545454546,1.01,1.8659090909090907,19.161363636363635,,,0.652856,,11.566669
2003-08-01,1.3159142857142858,4.4452380952380945,1.03,2.124761904761905,19.274285714285714,,,0.653671,,11.635190666666666
2003-09-01,1.209590476190476,4.274285714285715,1.01,2.0880952380952382,19.532380952380954,,,0.655993,,11.703712333333334
2003-10-01,1.203331818181818,4.290454545454545,1.01,2.2140909090909093,18.023478260869567,,,0.658672,,11.772234000000001
2003-11-01,1.2233888888888889,4.300000000000001,1.0,2.336111111111111,17.40105263157895,,,0.664515,,11.822638333333334
2003-12-01,1.2104590909090909,4.267727272727273,0.98,2.284090909090909,16.826363636363638,,,0.666665,,11.873042666666667
2004-01-01,1.135325,4.1505,1.0,2.263,16.101,,,0.66706,,11.923447
2004-02-01,1.096536842105263,4.084210526315789,1.01,2.3221052631578947,15.99842105263158,,,0.671527,,11.986569666666666
2004-03-01,0.9400304347826086,3.826521739130435,1.0,2.361304347826087,17.687391304347827,,,0.674084,,12.049692333333335
2004-04-01,1.2434571428571428,4.347619047619047,1.0,2.444761904761905,15.69857142857143,,,0.676383,,12.112815000000001
2004-05-01,1.451995,4.7155000000000005,1.0,2.6254999999999997,17.705000000000002,,,0.680633,,12.176979000000001
2004-06-01,1.404404761904762,4.733809523809524,1.03,2.5876190476190475,15.342727272727274,,,0.687391,,12.241143
2004-07-01,1.2448238095238096,4.498095238095239,1.26,2.473809523809524,15.502380952380953,,,0.693717,,12.305307
2004-08-01,1.1006545454545456,4.281363636363636,1.43,2.421818181818182,16.68409090909091,,,0.69484,,12.379275999999999
2004-09-01,0.9661238095238095,4.1257142857142854,1.61,2.3266666666666667,14.08095238095238,,,0.698617,,12.453245
